section_id,total_events,attendance_rate,late_rate,absent_count
ATT-S001,700,0.81,0.051,113
ATT-S002,600,0.777,0.043,121
ATT-S003,800,0.776,0.054,154
ATT-S004,600,0.778,0.063,114
ATT-S005,600,0.787,0.035,104
ATT-S006,800,0.784,0.062,149
ATT-S007,800,0.764,0.039,164
ATT-S008,800,0.778,0.044,157
ATT-S009,700,0.804,0.054,116
ATT-S010,800,0.756,0.055,163
ATT-S011,800,0.736,0.046,164
ATT-S012,800,0.792,0.054,142
ATT-S013,800,0.782,0.054,148
ATT-S014,600,0.752,0.047,125
ATT-S015,800,0.8,0.062,133
ATT-S016,800,0.775,0.052,145
